gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2785.64,education,74.0,Department of Higher Education,,,Integrated Power Development Scheme
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2621.98,other,94.0,Department of Space,,,Amended Technology Upgradation Fund Scheme(ATUFS)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2621.98,other,94.0,Department of Space,,,Amended Technology Upgradation Fund Scheme(ATUFS)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2589.55,infrastructure,19.0,Department of Food and Public Distribution,,,152.  Works under Border Roads Development Board
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2589.55,infrastructure,19.0,Department of Food and Public Distribution,,,152.  Works under Border Roads Development Board
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2500.0,other,16.0,Department of Food and Public Distribution,,,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2500.0,education,72.0,Department of Higher Education,,,LPG Connection to Poor Households
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2500.0,other,16.0,Department of Food and Public Distribution,,,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2500.0,education,72.0,Department of Higher Education,,,LPG Connection to Poor Households
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2465.21,other,9.0,Department of Pharmaceuticals,,,Turnaround Plan of Air India Ltd.
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2465.21,other,9.0,Department of Pharmaceuticals,,,Turnaround Plan of Air India Ltd.
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2359.86,other,21.0,Department of Food and Public Distribution,,,Heavy and Medium Vehicles - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2359.86,other,21.0,Department of Food and Public Distribution,,,Heavy and Medium Vehicles - Army
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2165.07,other,21.0,Department of Food and Public Distribution,,,Naval Dockyard/projects - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2165.07,other,21.0,Department of Food and Public Distribution,,,Naval Dockyard/projects - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,2159.91,other,28.0,Department of Food and Public Distribution,,,Bhutan
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,2001.0,education,72.0,Department of Higher Education,,,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,2001.0,education,72.0,Department of Higher Education,,,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1992.32,education,67.0,Department of Higher Education,,,Solar Power - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1992.32,education,67.0,Department of Higher Education,,,Solar Power - Grid Interactive Renewable Power
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1953.15,healthcare,42.0,Department of Health and Family Welfare,,,Pardhan Mantri Swasthya Suraksha Yojana
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,1850.0,education,58.0,Department of Higher Education,,,Interest Subsidy and contribution for Guarantee Funds
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1850.0,education,58.0,Department of Higher Education,,,Interest Subsidy and contribution for Guarantee Funds
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1833.31,other,21.0,Department of Food and Public Distribution,,,Construction Works - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,1833.31,other,21.0,Department of Food and Public Distribution,,,Construction Works - Air Force
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,1780.22,other,91.0,Department of Space,,,Space Technology
